category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,privacyNum,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,frequency,imagePath,originCategory,datasetName,id,nationality,bbox
Building,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",46,Female,5,CrowdWorks,8,7,6,8,5,1,283dafebe225590d.jpg,Building,OpenImages,283dafebe225590d_ma20020607_Building,Japan,"[0, 0, 0, 0]"
Person,"[1, 0, 1, 0, 1, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,5,CrowdWorks,8,7,6,8,5,1,283dafebe225590d.jpg,Person,OpenImages,283dafebe225590d_ma20020607_Person,Japan,"[0, 0, 0, 0]"
Clothing,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",46,Female,5,CrowdWorks,8,7,6,8,5,1,283dafebe225590d.jpg,Clothing,OpenImages,283dafebe225590d_ma20020607_Clothing,Japan,"[0, 0, 0, 0]"
Human leg,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",54,Male,3,Prolific,6,7,7,2,8,3,283dafebe225590d.jpg,Human leg,OpenImages,283dafebe225590d_6321ddc7c6363a9c0b934d8d_Human leg,UK,"[0, 0, 0, 0]"
Building,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",54,Male,3,Prolific,6,7,7,2,8,3,283dafebe225590d.jpg,Building,OpenImages,283dafebe225590d_6321ddc7c6363a9c0b934d8d_Building,UK,"[0, 0, 0, 0]"
Person,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",54,Male,3,Prolific,6,7,7,2,8,3,283dafebe225590d.jpg,Person,OpenImages,283dafebe225590d_6321ddc7c6363a9c0b934d8d_Person,UK,"[0, 0, 0, 0]"
Clothing,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",54,Male,3,Prolific,6,7,7,2,8,3,283dafebe225590d.jpg,Clothing,OpenImages,283dafebe225590d_6321ddc7c6363a9c0b934d8d_Clothing,UK,"[0, 0, 0, 0]"
Human leg,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",58,Male,5,Prolific,4,8,9,4,8,1,283dafebe225590d.jpg,Human leg,OpenImages,283dafebe225590d_60f5df9db9380d875c320307_Human leg,UK,"[0, 0, 0, 0]"
Building,"[0, 1, 0, 1, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",58,Male,5,Prolific,4,8,9,4,8,1,283dafebe225590d.jpg,Building,OpenImages,283dafebe225590d_60f5df9db9380d875c320307_Building,UK,"[0, 0, 0, 0]"
Person,"[1, 1, 0, 1, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",58,Male,5,Prolific,4,8,9,4,8,1,283dafebe225590d.jpg,Person,OpenImages,283dafebe225590d_60f5df9db9380d875c320307_Person,UK,"[0, 0, 0, 0]"
Clothing,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",58,Male,5,Prolific,4,8,9,4,8,1,283dafebe225590d.jpg,Clothing,OpenImages,283dafebe225590d_60f5df9db9380d875c320307_Clothing,UK,"[0, 0, 0, 0]"
signboard,"[0, 1, 0, 0, 0, 0]",1,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",28,Female,8,CrowdWorks,3,5,4,9,10,1,204825.jpg,signboard,LVIS,204825_yuna32_signboard,Japan,"[0, 0, 0, 0]"
polo_shirt,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",28,Female,8,CrowdWorks,3,5,4,9,10,1,204825.jpg,polo_shirt,LVIS,204825_yuna32_polo_shirt,Japan,"[0, 0, 0, 0]"
Object 0,"[0, 1, 0, 0, 0, 0]",1,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",28,Female,8,CrowdWorks,3,5,4,9,10,1,204825.jpg,Object 0,LVIS,204825_yuna32_Object 0,Japan,"[0, 0, 0, 0]"
signboard,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",31,Female,2,Prolific,4,9,9,3,3,0,204825.jpg,signboard,LVIS,204825_5eb6d09db2c9c85dd30dc94e_signboard,UK,"[0, 0, 0, 0]"
polo_shirt,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",31,Female,2,Prolific,4,9,9,3,3,0,204825.jpg,polo_shirt,LVIS,204825_5eb6d09db2c9c85dd30dc94e_polo_shirt,UK,"[0, 0, 0, 0]"
Object 0,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",31,Female,2,Prolific,4,9,9,3,3,0,204825.jpg,Object 0,LVIS,204825_5eb6d09db2c9c85dd30dc94e_Object 0,UK,"[0, 0, 0, 0]"
signboard,"[0, 1, 0, 0, 0, 0]",3,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",32,Female,3,Prolific,5,8,9,8,5,0,204825.jpg,signboard,LVIS,204825_6012e3ec177ded0d2a006b92_signboard,UK,"[0, 0, 0, 0]"
polo_shirt,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",32,Female,3,Prolific,5,8,9,8,5,0,204825.jpg,polo_shirt,LVIS,204825_6012e3ec177ded0d2a006b92_polo_shirt,UK,"[0, 0, 0, 0]"
Object 0,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",32,Female,3,Prolific,5,8,9,8,5,0,204825.jpg,Object 0,LVIS,204825_6012e3ec177ded0d2a006b92_Object 0,UK,"[0, 0, 0, 0]"
Dog,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",39,Female,9,CrowdWorks,3,5,10,10,8,1,04d49a245f13b536.jpg,Dog,OpenImages,04d49a245f13b536_takotsubo8_Dog,Japan,"[0, 0, 0, 0]"
Dog,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",34,Male,6,CrowdWorks,2,5,5,7,2,1,04d49a245f13b536.jpg,Dog,OpenImages,04d49a245f13b536_psrnsr_Dog,Japan,"[0, 0, 0, 0]"
Dog,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",49,Female,3,Prolific,3,4,5,8,7,2,04d49a245f13b536.jpg,Dog,OpenImages,04d49a245f13b536_5dac2415bb24a50017217397_Dog,UK,"[0, 0, 0, 0]"
Dog,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",23,Male,4,Prolific,8,6,4,6,6,1,04d49a245f13b536.jpg,Dog,OpenImages,04d49a245f13b536_63d14a2ec69796409fb5269f_Dog,UK,"[0, 0, 0, 0]"
laptop_computer,"[0, 0, 0, 1, 0, 0]",2,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",53,Female,10,CrowdWorks,7,6,8,5,7,2,215778.jpg,laptop_computer,LVIS,215778_chikomama_laptop_computer,Japan,"[0, 0, 0, 0]"
table,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",53,Female,10,CrowdWorks,7,6,8,5,7,2,215778.jpg,table,LVIS,215778_chikomama_table,Japan,"[0, 0, 0, 0]"
notebook,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",53,Female,10,CrowdWorks,7,6,8,5,7,2,215778.jpg,notebook,LVIS,215778_chikomama_notebook,Japan,"[0, 0, 0, 0]"
computer_keyboard,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",53,Female,10,CrowdWorks,7,6,8,5,7,2,215778.jpg,computer_keyboard,LVIS,215778_chikomama_computer_keyboard,Japan,"[0, 0, 0, 0]"
mug,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",53,Female,10,CrowdWorks,7,6,8,5,7,2,215778.jpg,mug,LVIS,215778_chikomama_mug,Japan,"[0, 0, 0, 0]"
identity_card,"[1, 0, 0, 1, 0, 0]",1,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",53,Female,10,CrowdWorks,7,6,8,5,7,2,215778.jpg,identity_card,LVIS,215778_chikomama_identity_card,Japan,"[0, 0, 0, 0]"
Object 0,"[0, 0, 0, 1, 0, 0]",2,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",53,Female,10,CrowdWorks,7,6,8,5,7,2,215778.jpg,Object 0,LVIS,215778_chikomama_Object 0,Japan,"[0, 0, 0, 0]"
laptop_computer,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",31,Female,6,CrowdWorks,8,6,7,7,6,1,215778.jpg,laptop_computer,LVIS,215778_co10_laptop_computer,Japan,"[0, 0, 0, 0]"
table,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",31,Female,6,CrowdWorks,8,6,7,7,6,1,215778.jpg,table,LVIS,215778_co10_table,Japan,"[0, 0, 0, 0]"
notebook,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",31,Female,6,CrowdWorks,8,6,7,7,6,1,215778.jpg,notebook,LVIS,215778_co10_notebook,Japan,"[0, 0, 0, 0]"
computer_keyboard,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",31,Female,6,CrowdWorks,8,6,7,7,6,1,215778.jpg,computer_keyboard,LVIS,215778_co10_computer_keyboard,Japan,"[0, 0, 0, 0]"
mug,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",31,Female,6,CrowdWorks,8,6,7,7,6,1,215778.jpg,mug,LVIS,215778_co10_mug,Japan,"[0, 0, 0, 0]"
identity_card,"[1, 0, 0, 0, 1, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,Female,6,CrowdWorks,8,6,7,7,6,1,215778.jpg,identity_card,LVIS,215778_co10_identity_card,Japan,"[0, 0, 0, 0]"
Object 0,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",31,Female,6,CrowdWorks,8,6,7,7,6,1,215778.jpg,Object 0,LVIS,215778_co10_Object 0,Japan,"[0, 0, 0, 0]"
laptop_computer,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",48,Male,5,Prolific,2,8,4,9,7,1,215778.jpg,laptop_computer,LVIS,215778_5ba104967b196f00019640a1_laptop_computer,UK,"[0, 0, 0, 0]"
table,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",48,Male,5,Prolific,2,8,4,9,7,1,215778.jpg,table,LVIS,215778_5ba104967b196f00019640a1_table,UK,"[0, 0, 0, 0]"
notebook,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",48,Male,5,Prolific,2,8,4,9,7,1,215778.jpg,notebook,LVIS,215778_5ba104967b196f00019640a1_notebook,UK,"[0, 0, 0, 0]"
computer_keyboard,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",48,Male,5,Prolific,2,8,4,9,7,1,215778.jpg,computer_keyboard,LVIS,215778_5ba104967b196f00019640a1_computer_keyboard,UK,"[0, 0, 0, 0]"
mug,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",48,Male,5,Prolific,2,8,4,9,7,1,215778.jpg,mug,LVIS,215778_5ba104967b196f00019640a1_mug,UK,"[0, 0, 0, 0]"
identity_card,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Male,5,Prolific,2,8,4,9,7,1,215778.jpg,identity_card,LVIS,215778_5ba104967b196f00019640a1_identity_card,UK,"[0, 0, 0, 0]"
Object 0,"[0, 0, 1, 0, 0, 0]",3,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",48,Male,5,Prolific,2,8,4,9,7,1,215778.jpg,Object 0,LVIS,215778_5ba104967b196f00019640a1_Object 0,UK,"[0, 0, 0, 0]"
laptop_computer,"[1, 0, 1, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",34,Female,10,Prolific,3,5,6,9,9,0,215778.jpg,laptop_computer,LVIS,215778_5a6f9ac482968f0001a6a158_laptop_computer,UK,"[0, 0, 0, 0]"
table,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",34,Female,10,Prolific,3,5,6,9,9,0,215778.jpg,table,LVIS,215778_5a6f9ac482968f0001a6a158_table,UK,"[0, 0, 0, 0]"
notebook,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",34,Female,10,Prolific,3,5,6,9,9,0,215778.jpg,notebook,LVIS,215778_5a6f9ac482968f0001a6a158_notebook,UK,"[0, 0, 0, 0]"
computer_keyboard,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",34,Female,10,Prolific,3,5,6,9,9,0,215778.jpg,computer_keyboard,LVIS,215778_5a6f9ac482968f0001a6a158_computer_keyboard,UK,"[0, 0, 0, 0]"
mug,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",34,Female,10,Prolific,3,5,6,9,9,0,215778.jpg,mug,LVIS,215778_5a6f9ac482968f0001a6a158_mug,UK,"[0, 0, 0, 0]"
identity_card,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",34,Female,10,Prolific,3,5,6,9,9,0,215778.jpg,identity_card,LVIS,215778_5a6f9ac482968f0001a6a158_identity_card,UK,"[0, 0, 0, 0]"
Object 0,"[0, 0, 1, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",34,Female,10,Prolific,3,5,6,9,9,0,215778.jpg,Object 0,LVIS,215778_5a6f9ac482968f0001a6a158_Object 0,UK,"[0, 0, 0, 0]"
bottle,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",38,Female,5,CrowdWorks,4,5,7,8,9,3,166426.jpg,bottle,LVIS,166426_siz1_bottle,Japan,"[0, 0, 0, 0]"
bottle,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",52,Male,1,CrowdWorks,4,6,5,8,4,1,166426.jpg,bottle,LVIS,166426_belfast14_bottle,Japan,"[0, 0, 0, 0]"
bottle,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",28,Male,8,Prolific,8,3,6,5,10,0,166426.jpg,bottle,LVIS,166426_637e1d5ac58ad3caea4f3446_bottle,UK,"[0, 0, 0, 0]"
bottle,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",30,Male,2,Prolific,5,6,6,6,7,1,166426.jpg,bottle,LVIS,166426_63e89dd3c15d626310f40cda_bottle,UK,"[0, 0, 0, 0]"
identity,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",49,Female,8,CrowdWorks,4,8,7,6,4,2,0e434121f4d725a5.jpg,identity,OpenImages,0e434121f4d725a5_riem9906k_identity,Japan,"[0, 0, 0, 0]"
identity,"[0, 0, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",37,Male,6,CrowdWorks,3,4,5,7,4,0,0e434121f4d725a5.jpg,identity,OpenImages,0e434121f4d725a5_griotte_identity,Japan,"[0, 0, 0, 0]"
identity,"[0, 0, 0, 0, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",59,Male,2,Prolific,4,7,9,4,9,1,0e434121f4d725a5.jpg,identity,OpenImages,0e434121f4d725a5_5c871ab7de75d4001602869d_identity,UK,"[0, 0, 0, 0]"
identity,"[1, 1, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",54,Male,5,Prolific,5,5,6,7,6,1,0e434121f4d725a5.jpg,identity,OpenImages,0e434121f4d725a5_63a9b61c3230d29d391ac393_identity,UK,"[0, 0, 0, 0]"
car_(automobile),"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",67,Male,3,CrowdWorks,4,7,6,6,6,1,142585.jpg,car_(automobile),LVIS,142585_namihei_car_(automobile),Japan,"[0, 0, 0, 0]"
brake_light,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",67,Male,3,CrowdWorks,4,7,6,6,6,1,142585.jpg,brake_light,LVIS,142585_namihei_brake_light,Japan,"[0, 0, 0, 0]"
car_(automobile),"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",40,Male,8,CrowdWorks,4,5,5,7,5,1,142585.jpg,car_(automobile),LVIS,142585_chiyos_car_(automobile),Japan,"[0, 0, 0, 0]"
brake_light,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",40,Male,8,CrowdWorks,4,5,5,7,5,1,142585.jpg,brake_light,LVIS,142585_chiyos_brake_light,Japan,"[0, 0, 0, 0]"
car_(automobile),"[0, 0, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",46,Female,7,Prolific,5,5,5,4,7,1,142585.jpg,car_(automobile),LVIS,142585_6156fef09d1ab07148870099_car_(automobile),UK,"[0, 0, 0, 0]"
brake_light,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",46,Female,7,Prolific,5,5,5,4,7,1,142585.jpg,brake_light,LVIS,142585_6156fef09d1ab07148870099_brake_light,UK,"[0, 0, 0, 0]"
car_(automobile),"[1, 1, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",25,Male,9,Prolific,6,6,6,7,6,4,142585.jpg,car_(automobile),LVIS,142585_62d559fefc52957596b0888f_car_(automobile),UK,"[0, 0, 0, 0]"
brake_light,"[0, 0, 1, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",25,Male,9,Prolific,6,6,6,7,6,4,142585.jpg,brake_light,LVIS,142585_62d559fefc52957596b0888f_brake_light,UK,"[0, 0, 0, 0]"
Skyscraper,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",35,Male,3,CrowdWorks,10,6,10,8,9,1,d58bd5a441e5a2a8.jpg,Skyscraper,OpenImages,d58bd5a441e5a2a8_Leira_Skyscraper,Japan,"[0, 0, 0, 0]"
Train,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",35,Male,3,CrowdWorks,10,6,10,8,9,1,d58bd5a441e5a2a8.jpg,Train,OpenImages,d58bd5a441e5a2a8_Leira_Train,Japan,"[0, 0, 0, 0]"
Building,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",35,Male,3,CrowdWorks,10,6,10,8,9,1,d58bd5a441e5a2a8.jpg,Building,OpenImages,d58bd5a441e5a2a8_Leira_Building,Japan,"[0, 0, 0, 0]"
Skyscraper,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",32,Male,6,CrowdWorks,4,5,8,7,7,0,d58bd5a441e5a2a8.jpg,Skyscraper,OpenImages,d58bd5a441e5a2a8_M.SUZUKI3_Skyscraper,Japan,"[0, 0, 0, 0]"
Train,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",32,Male,6,CrowdWorks,4,5,8,7,7,0,d58bd5a441e5a2a8.jpg,Train,OpenImages,d58bd5a441e5a2a8_M.SUZUKI3_Train,Japan,"[0, 0, 0, 0]"
Building,"[0, 1, 0, 0, 0, 0]",4,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",32,Male,6,CrowdWorks,4,5,8,7,7,0,d58bd5a441e5a2a8.jpg,Building,OpenImages,d58bd5a441e5a2a8_M.SUZUKI3_Building,Japan,"[0, 0, 0, 0]"
Skyscraper,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",25,Male,6,Prolific,6,8,8,8,6,2,d58bd5a441e5a2a8.jpg,Skyscraper,OpenImages,d58bd5a441e5a2a8_640239e99e1aca6cf18a2b87_Skyscraper,UK,"[0, 0, 0, 0]"
Train,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",25,Male,6,Prolific,6,8,8,8,6,2,d58bd5a441e5a2a8.jpg,Train,OpenImages,d58bd5a441e5a2a8_640239e99e1aca6cf18a2b87_Train,UK,"[0, 0, 0, 0]"
Building,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",25,Male,6,Prolific,6,8,8,8,6,2,d58bd5a441e5a2a8.jpg,Building,OpenImages,d58bd5a441e5a2a8_640239e99e1aca6cf18a2b87_Building,UK,"[0, 0, 0, 0]"
Skyscraper,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",26,Male,4,Prolific,5,7,5,6,5,0,d58bd5a441e5a2a8.jpg,Skyscraper,OpenImages,d58bd5a441e5a2a8_63d0082563f1ab8825b4e51a_Skyscraper,UK,"[0, 0, 0, 0]"
Train,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",26,Male,4,Prolific,5,7,5,6,5,0,d58bd5a441e5a2a8.jpg,Train,OpenImages,d58bd5a441e5a2a8_63d0082563f1ab8825b4e51a_Train,UK,"[0, 0, 0, 0]"
Building,"[0, 1, 0, 0, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",26,Male,4,Prolific,5,7,5,6,5,0,d58bd5a441e5a2a8.jpg,Building,OpenImages,d58bd5a441e5a2a8_63d0082563f1ab8825b4e51a_Building,UK,"[0, 0, 0, 0]"
license_plate,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",40,Female,5,CrowdWorks,2,6,6,8,2,0,127042.jpg,license_plate,LVIS,127042_aya.yu_license_plate,Japan,"[0, 0, 0, 0]"
license_plate,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",39,Male,5,CrowdWorks,7,7,10,7,3,1,127042.jpg,license_plate,LVIS,127042_Rshuntaro_license_plate,Japan,"[0, 0, 0, 0]"
license_plate,"[0, 0, 0, 0, 1, 0]",1,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",40,Male,2,Prolific,6,6,6,7,5,0,127042.jpg,license_plate,LVIS,127042_62b0c2e6bbb517b6acd0d241_license_plate,UK,"[0, 0, 0, 0]"
license_plate,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",9,Female,1,Prolific,5,7,10,7,7,2,127042.jpg,license_plate,LVIS,127042_63a0ba2b090476e91839f62e_license_plate,UK,"[0, 0, 0, 0]"
Human face,"[1, 0, 0, 0, 0, 0]",0,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",59,Male,7,CrowdWorks,4,4,6,9,6,1,231f3e437626f792.jpg,Human face,OpenImages,231f3e437626f792_aucgn207_Human face,Japan,"[0, 0, 0, 0]"
Human hair,"[0, 0, 0, 0, 0, 1]",2,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",59,Male,7,CrowdWorks,4,4,6,9,6,1,231f3e437626f792.jpg,Human hair,OpenImages,231f3e437626f792_aucgn207_Human hair,Japan,"[0, 0, 0, 0]"
Glasses,"[0, 0, 0, 0, 0, 1]",2,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",59,Male,7,CrowdWorks,4,4,6,9,6,1,231f3e437626f792.jpg,Glasses,OpenImages,231f3e437626f792_aucgn207_Glasses,Japan,"[0, 0, 0, 0]"
