category,informationType,informativeness,sharing,age,gender,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originCategory,datasetName,id,bbox
Human head,0,3,0,61,Female,Prolific,6,7,9,7,6,0b9aec984321bf53.jpg,Human head,OpenImages,0b9aec984321bf53_Human head,"[0, 0, 0, 0]"
Microphone,0,3,0,61,Female,Prolific,6,7,9,7,6,0b9aec984321bf53.jpg,Microphone,OpenImages,0b9aec984321bf53_Microphone,"[0, 0, 0, 0]"
calendar,4,4,1,25,Female,CrowdWorks,2,9,7,10,9,136355.jpg,calendar,LVIS,136355_calendar,"[0, 0, 0, 0]"
calendar,2,4,2,54,Male,Prolific,8,9,8,4,8,136355.jpg,calendar,LVIS,136355_calendar,"[0, 0, 0, 0]"
Human face,0,6,1,58,Male,CrowdWorks,3,5,6,9,6,34ec1592f40cdfaa.jpg,Human face,OpenImages,34ec1592f40cdfaa_Human face,"[0, 0, 0, 0]"
Clothing,0,6,1,58,Male,CrowdWorks,3,5,6,9,6,34ec1592f40cdfaa.jpg,Clothing,OpenImages,34ec1592f40cdfaa_Clothing,"[0, 0, 0, 0]"
Human body,0,6,1,58,Male,CrowdWorks,3,5,6,9,6,34ec1592f40cdfaa.jpg,Human body,OpenImages,34ec1592f40cdfaa_Human body,"[0, 0, 0, 0]"
Human head,0,6,1,58,Male,CrowdWorks,3,5,6,9,6,34ec1592f40cdfaa.jpg,Human head,OpenImages,34ec1592f40cdfaa_Human head,"[0, 0, 0, 0]"
Boy,0,6,1,58,Male,CrowdWorks,3,5,6,9,6,34ec1592f40cdfaa.jpg,Boy,OpenImages,34ec1592f40cdfaa_Boy,"[0, 0, 0, 0]"
Human face,0,3,1,29,Female,Prolific,9,8,7,4,6,34ec1592f40cdfaa.jpg,Human face,OpenImages,34ec1592f40cdfaa_Human face,"[0, 0, 0, 0]"
Human head,0,3,1,29,Female,Prolific,9,8,7,4,6,34ec1592f40cdfaa.jpg,Human head,OpenImages,34ec1592f40cdfaa_Human head,"[0, 0, 0, 0]"
Boy,0,3,1,29,Female,Prolific,9,8,7,4,6,34ec1592f40cdfaa.jpg,Boy,OpenImages,34ec1592f40cdfaa_Boy,"[0, 0, 0, 0]"
Chair,0,5,1,38,Female,CrowdWorks,6,7,6,3,8,140d247f79fc0516.jpg,Chair,OpenImages,140d247f79fc0516_Chair,"[0, 0, 0, 0]"
Human hair,0,6,0,38,Female,CrowdWorks,6,7,6,3,8,140d247f79fc0516.jpg,Human hair,OpenImages,140d247f79fc0516_Human hair,"[0, 0, 0, 0]"
Human face,0,3,0,31,Male,Prolific,4,6,5,3,6,140d247f79fc0516.jpg,Human face,OpenImages,140d247f79fc0516_Human face,"[0, 0, 0, 0]"
Human head,0,4,0,31,Male,Prolific,4,6,5,3,6,140d247f79fc0516.jpg,Human head,OpenImages,140d247f79fc0516_Human head,"[0, 0, 0, 0]"
House,2,1,1,31,Male,Prolific,4,6,5,3,6,140d247f79fc0516.jpg,House,OpenImages,140d247f79fc0516_House,"[0, 0, 0, 0]"
Boy,4,3,0,31,Male,Prolific,4,6,5,3,6,140d247f79fc0516.jpg,Boy,OpenImages,140d247f79fc0516_Boy,"[0, 0, 0, 0]"
Desk,2,1,0,31,Male,Prolific,4,6,5,3,6,140d247f79fc0516.jpg,Desk,OpenImages,140d247f79fc0516_Desk,"[0, 0, 0, 0]"
Car,1,4,1,41,Female,CrowdWorks,3,6,5,7,8,0727983dd5f9e4e6.jpg,Car,OpenImages,0727983dd5f9e4e6_Car,"[0, 0, 0, 0]"
Car,0,4,1,27,Female,Prolific,7,7,3,9,9,0727983dd5f9e4e6.jpg,Car,OpenImages,0727983dd5f9e4e6_Car,"[0, 0, 0, 0]"
Vehicle registration plate,3,5,1,27,Female,Prolific,7,7,3,9,9,0727983dd5f9e4e6.jpg,Vehicle registration plate,OpenImages,0727983dd5f9e4e6_Vehicle registration plate,"[0, 0, 0, 0]"
desk,2,3,1,42,Female,CrowdWorks,5,6,8,5,7,176446.jpg,desk,LVIS,176446_desk,"[0, 0, 0, 0]"
skateboard,0,6,1,45,Female,CrowdWorks,3,8,10,8,6,276476.jpg,skateboard,LVIS,276476_skateboard,"[0, 0, 0, 0]"
desk,1,3,0,42,Female,CrowdWorks,5,6,8,5,7,328780.jpg,desk,LVIS,328780_desk,"[0, 0, 0, 0]"
cat,2,3,0,42,Female,CrowdWorks,5,6,8,5,7,328780.jpg,cat,LVIS,328780_cat,"[0, 0, 0, 0]"
printer,2,3,0,42,Female,CrowdWorks,5,6,8,5,7,328780.jpg,printer,LVIS,328780_printer,"[0, 0, 0, 0]"
monitor_(computer_equipment) computer_monitor,0,4,0,42,Female,CrowdWorks,5,6,8,5,7,328780.jpg,monitor_(computer_equipment) computer_monitor,LVIS,328780_monitor_(computer_equipment) computer_monitor,"[0, 0, 0, 0]"
water_bottle,2,3,0,42,Female,CrowdWorks,5,6,8,5,7,328780.jpg,water_bottle,LVIS,328780_water_bottle,"[0, 0, 0, 0]"
newspaper,2,3,0,42,Female,CrowdWorks,5,6,8,5,7,328780.jpg,newspaper,LVIS,328780_newspaper,"[0, 0, 0, 0]"
desk,2,1,1,28,Female,Prolific,8,8,5,9,8,328780.jpg,desk,LVIS,328780_desk,"[0, 0, 0, 0]"
cat,3,1,1,28,Female,Prolific,8,8,5,9,8,328780.jpg,cat,LVIS,328780_cat,"[0, 0, 0, 0]"
water_bottle,2,1,1,28,Female,Prolific,8,8,5,9,8,328780.jpg,water_bottle,LVIS,328780_water_bottle,"[0, 0, 0, 0]"
newspaper,2,1,1,28,Female,Prolific,8,8,5,9,8,328780.jpg,newspaper,LVIS,328780_newspaper,"[0, 0, 0, 0]"
Bicycle helmet,0,4,1,41,Female,CrowdWorks,5,6,3,9,6,00575b9132bb3746.jpg,Bicycle helmet,OpenImages,00575b9132bb3746_Bicycle helmet,"[0, 0, 0, 0]"
Person,0,5,1,41,Female,CrowdWorks,5,6,3,9,6,00575b9132bb3746.jpg,Person,OpenImages,00575b9132bb3746_Person,"[0, 0, 0, 0]"
Clothing,0,4,1,41,Female,CrowdWorks,5,6,3,9,6,00575b9132bb3746.jpg,Clothing,OpenImages,00575b9132bb3746_Clothing,"[0, 0, 0, 0]"
Sports uniform,0,4,2,41,Female,CrowdWorks,5,6,3,9,6,00575b9132bb3746.jpg,Sports uniform,OpenImages,00575b9132bb3746_Sports uniform,"[0, 0, 0, 0]"
Land vehicle,0,3,2,41,Female,CrowdWorks,5,6,3,9,6,00575b9132bb3746.jpg,Land vehicle,OpenImages,00575b9132bb3746_Land vehicle,"[0, 0, 0, 0]"
Human body,0,5,1,41,Female,CrowdWorks,5,6,3,9,6,00575b9132bb3746.jpg,Human body,OpenImages,00575b9132bb3746_Human body,"[0, 0, 0, 0]"
Sports equipment,0,4,2,41,Female,CrowdWorks,5,6,3,9,6,00575b9132bb3746.jpg,Sports equipment,OpenImages,00575b9132bb3746_Sports equipment,"[0, 0, 0, 0]"
Human arm,0,3,1,41,Female,CrowdWorks,5,6,3,9,6,00575b9132bb3746.jpg,Human arm,OpenImages,00575b9132bb3746_Human arm,"[0, 0, 0, 0]"
Person,0,3,0,55,Female,Prolific,5,8,10,2,8,00575b9132bb3746.jpg,Person,OpenImages,00575b9132bb3746_Person,"[0, 0, 0, 0]"
taillight,0,0,3,24,Male,CrowdWorks,3,5,4,9,6,101882.jpg,taillight,LVIS,101882_taillight,"[0, 0, 0, 0]"
signboard,1,5,1,24,Male,CrowdWorks,3,5,4,9,6,101882.jpg,signboard,LVIS,101882_signboard,"[0, 0, 0, 0]"
hinge,1,0,3,24,Male,CrowdWorks,3,5,4,9,6,101882.jpg,hinge,LVIS,101882_hinge,"[0, 0, 0, 0]"
license_plate,0,5,1,24,Male,CrowdWorks,3,5,4,9,6,101882.jpg,license_plate,LVIS,101882_license_plate,"[0, 0, 0, 0]"
vent,1,1,2,24,Male,CrowdWorks,3,5,4,9,6,101882.jpg,vent,LVIS,101882_vent,"[0, 0, 0, 0]"
vest,0,1,3,24,Male,CrowdWorks,3,5,4,9,6,101882.jpg,vest,LVIS,101882_vest,"[0, 0, 0, 0]"
motorcycle,0,1,3,24,Male,CrowdWorks,3,5,4,9,6,101882.jpg,motorcycle,LVIS,101882_motorcycle,"[0, 0, 0, 0]"
signboard,1,1,2,22,Male,Prolific,5,8,8,5,6,101882.jpg,signboard,LVIS,101882_signboard,"[0, 0, 0, 0]"
license_plate,3,0,2,22,Male,Prolific,5,8,8,5,6,101882.jpg,license_plate,LVIS,101882_license_plate,"[0, 0, 0, 0]"
motorcycle,2,0,2,22,Male,Prolific,5,8,8,5,6,101882.jpg,motorcycle,LVIS,101882_motorcycle,"[0, 0, 0, 0]"
dog,2,3,1,44,Male,CrowdWorks,5,8,5,6,10,139429.jpg,dog,LVIS,139429_dog,"[0, 0, 0, 0]"
handbag,2,3,1,44,Male,CrowdWorks,5,8,5,6,10,139429.jpg,handbag,LVIS,139429_handbag,"[0, 0, 0, 0]"
necklace,2,4,1,44,Male,CrowdWorks,5,8,5,6,10,139429.jpg,necklace,LVIS,139429_necklace,"[0, 0, 0, 0]"
ring,2,4,1,44,Male,CrowdWorks,5,8,5,6,10,139429.jpg,ring,LVIS,139429_ring,"[0, 0, 0, 0]"
tank_top_(clothing),0,1,1,43,Female,Prolific,4,6,8,10,10,139429.jpg,tank_top_(clothing),LVIS,139429_tank_top_(clothing),"[0, 0, 0, 0]"
dog,0,4,1,43,Female,Prolific,4,6,8,10,10,139429.jpg,dog,LVIS,139429_dog,"[0, 0, 0, 0]"
handbag,0,0,1,43,Female,Prolific,4,6,8,10,10,139429.jpg,handbag,LVIS,139429_handbag,"[0, 0, 0, 0]"
necklace,0,1,1,43,Female,Prolific,4,6,8,10,10,139429.jpg,necklace,LVIS,139429_necklace,"[0, 0, 0, 0]"
sandal_(type_of_shoe),0,0,1,43,Female,Prolific,4,6,8,10,10,139429.jpg,sandal_(type_of_shoe),LVIS,139429_sandal_(type_of_shoe),"[0, 0, 0, 0]"
ring,0,1,1,43,Female,Prolific,4,6,8,10,10,139429.jpg,ring,LVIS,139429_ring,"[0, 0, 0, 0]"
television_set,2,1,2,41,Male,CrowdWorks,4,6,8,5,8,122335.jpg,television_set,LVIS,122335_television_set,"[0, 0, 0, 0]"
toy,2,2,2,41,Male,CrowdWorks,4,6,8,5,8,122335.jpg,toy,LVIS,122335_toy,"[0, 0, 0, 0]"
Human face,0,4,1,43,Female,CrowdWorks,2,4,6,9,9,10cae64b8b77b511.jpg,Human face,OpenImages,10cae64b8b77b511_Human face,"[0, 0, 0, 0]"
Girl,0,5,1,43,Female,CrowdWorks,2,4,6,9,9,10cae64b8b77b511.jpg,Girl,OpenImages,10cae64b8b77b511_Girl,"[0, 0, 0, 0]"
Woman,0,5,1,43,Female,CrowdWorks,2,4,6,9,9,10cae64b8b77b511.jpg,Woman,OpenImages,10cae64b8b77b511_Woman,"[0, 0, 0, 0]"
hat,0,4,1,44,Male,CrowdWorks,3,6,7,6,8,101088.jpg,hat,LVIS,101088_hat,"[0, 0, 0, 0]"
ring,0,1,1,44,Male,CrowdWorks,3,6,7,6,8,101088.jpg,ring,LVIS,101088_ring,"[0, 0, 0, 0]"
Plant,2,2,2,37,Male,CrowdWorks,2,6,3,9,4,50202badfd6b50fe.jpg,Plant,OpenImages,50202badfd6b50fe_Plant,"[0, 0, 0, 0]"
Houseplant,2,2,2,37,Male,CrowdWorks,2,6,3,9,4,50202badfd6b50fe.jpg,Houseplant,OpenImages,50202badfd6b50fe_Houseplant,"[0, 0, 0, 0]"
Flowerpot,2,2,2,37,Male,CrowdWorks,2,6,3,9,4,50202badfd6b50fe.jpg,Flowerpot,OpenImages,50202badfd6b50fe_Flowerpot,"[0, 0, 0, 0]"
House,2,4,0,39,Male,Prolific,6,7,7,9,7,50202badfd6b50fe.jpg,House,OpenImages,50202badfd6b50fe_House,"[0, 0, 0, 0]"
motorcycle,2,6,1,40,Female,Prolific,7,6,9,4,9,171685.jpg,motorcycle,LVIS,171685_motorcycle,"[0, 0, 0, 0]"
license_plate,0,6,0,40,Female,Prolific,7,6,9,4,9,171685.jpg,license_plate,LVIS,171685_license_plate,"[0, 0, 0, 0]"
tennis_racket,0,4,2,41,Female,CrowdWorks,5,6,3,9,6,128281.jpg,tennis_racket,LVIS,128281_tennis_racket,"[0, 0, 0, 0]"
Chair,1,5,1,48,Male,Prolific,6,5,8,3,10,61a4c0baf5dd84f3.jpg,Chair,OpenImages,61a4c0baf5dd84f3_Chair,"[0, 0, 0, 0]"
Furniture,1,5,1,48,Male,Prolific,6,5,8,3,10,61a4c0baf5dd84f3.jpg,Furniture,OpenImages,61a4c0baf5dd84f3_Furniture,"[0, 0, 0, 0]"
Building,1,5,1,48,Male,Prolific,6,5,8,3,10,61a4c0baf5dd84f3.jpg,Building,OpenImages,61a4c0baf5dd84f3_Building,"[0, 0, 0, 0]"
identity,0,5,0,51,Male,CrowdWorks,8,6,8,4,7,12e3b493707841ab.jpg,identity,OpenImages,12e3b493707841ab_identity,"[0, 0, 0, 0]"
person,0,3,1,41,Female,CrowdWorks,3,6,5,7,8,15335.jpg,person,LVIS,15335_person,"[0, 0, 0, 0]"
bench,0,3,1,41,Female,CrowdWorks,3,6,5,7,8,15335.jpg,bench,LVIS,15335_bench,"[0, 0, 0, 0]"
person,0,5,1,27,Female,Prolific,7,7,3,9,9,15335.jpg,person,LVIS,15335_person,"[0, 0, 0, 0]"
Building,1,4,1,28,Female,CrowdWorks,6,2,6,6,6,2f7bb4d2d0b95fac.jpg,Building,OpenImages,2f7bb4d2d0b95fac_Building,"[0, 0, 0, 0]"
laptop_computer,0,4,0,45,Male,CrowdWorks,5,5,8,6,4,119233.jpg,laptop_computer,LVIS,119233_laptop_computer,"[0, 0, 0, 0]"
cat,0,5,0,45,Male,CrowdWorks,5,5,8,6,4,119233.jpg,cat,LVIS,119233_cat,"[0, 0, 0, 0]"
laptop_computer,2,3,0,62,Male,Prolific,2,3,7,6,9,119233.jpg,laptop_computer,LVIS,119233_laptop_computer,"[0, 0, 0, 0]"
Human face,0,6,1,30,Male,CrowdWorks,4,8,8,6,7,020c7b8e6d605069.jpg,Human face,OpenImages,020c7b8e6d605069_Human face,"[0, 0, 0, 0]"
Human body,0,6,1,30,Male,CrowdWorks,4,8,8,6,7,020c7b8e6d605069.jpg,Human body,OpenImages,020c7b8e6d605069_Human body,"[0, 0, 0, 0]"
Human head,0,6,1,30,Male,CrowdWorks,4,8,8,6,7,020c7b8e6d605069.jpg,Human head,OpenImages,020c7b8e6d605069_Human head,"[0, 0, 0, 0]"
Boy,0,6,1,30,Male,CrowdWorks,4,8,8,6,7,020c7b8e6d605069.jpg,Boy,OpenImages,020c7b8e6d605069_Boy,"[0, 0, 0, 0]"
Helmet,0,6,1,30,Male,CrowdWorks,4,8,8,6,7,020c7b8e6d605069.jpg,Helmet,OpenImages,020c7b8e6d605069_Helmet,"[0, 0, 0, 0]"
Football helmet,0,6,1,30,Male,CrowdWorks,4,8,8,6,7,020c7b8e6d605069.jpg,Football helmet,OpenImages,020c7b8e6d605069_Football helmet,"[0, 0, 0, 0]"
Furniture,1,1,1,32,Female,CrowdWorks,5,6,5,10,4,00f695485d605b32.jpg,Furniture,OpenImages,00f695485d605b32_Furniture,"[0, 0, 0, 0]"
Building,1,5,0,32,Female,CrowdWorks,5,6,5,10,4,00f695485d605b32.jpg,Building,OpenImages,00f695485d605b32_Building,"[0, 0, 0, 0]"
Houseplant,1,1,1,32,Female,CrowdWorks,5,6,5,10,4,00f695485d605b32.jpg,Houseplant,OpenImages,00f695485d605b32_Houseplant,"[0, 0, 0, 0]"
House,1,6,0,32,Female,CrowdWorks,5,6,5,10,4,00f695485d605b32.jpg,House,OpenImages,00f695485d605b32_House,"[0, 0, 0, 0]"
Table,2,1,1,32,Female,CrowdWorks,5,6,5,10,4,00f695485d605b32.jpg,Table,OpenImages,00f695485d605b32_Table,"[0, 0, 0, 0]"
Wheel,1,1,0,32,Female,CrowdWorks,5,6,5,10,4,00f695485d605b32.jpg,Wheel,OpenImages,00f695485d605b32_Wheel,"[0, 0, 0, 0]"
Building,1,4,0,54,Female,Prolific,2,6,10,7,8,00f695485d605b32.jpg,Building,OpenImages,00f695485d605b32_Building,"[0, 0, 0, 0]"
House,1,3,0,54,Female,Prolific,2,6,10,7,8,00f695485d605b32.jpg,House,OpenImages,00f695485d605b32_House,"[0, 0, 0, 0]"
Human hair,0,3,0,43,Male,CrowdWorks,7,6,8,5,8,01ada3c0d980be5e.jpg,Human hair,OpenImages,01ada3c0d980be5e_Human hair,"[0, 0, 0, 0]"
Person,0,4,0,43,Male,CrowdWorks,7,6,8,5,8,01ada3c0d980be5e.jpg,Person,OpenImages,01ada3c0d980be5e_Person,"[0, 0, 0, 0]"
Clothing,1,3,0,43,Male,CrowdWorks,7,6,8,5,8,01ada3c0d980be5e.jpg,Clothing,OpenImages,01ada3c0d980be5e_Clothing,"[0, 0, 0, 0]"
Office building,1,3,1,43,Male,CrowdWorks,7,6,8,5,8,01ada3c0d980be5e.jpg,Office building,OpenImages,01ada3c0d980be5e_Office building,"[0, 0, 0, 0]"
license_plate,0,3,0,48,Female,CrowdWorks,3,8,6,8,5,130516.jpg,license_plate,LVIS,130516_license_plate,"[0, 0, 0, 0]"
license_plate,0,3,1,44,Male,Prolific,5,6,10,3,10,130516.jpg,license_plate,LVIS,130516_license_plate,"[0, 0, 0, 0]"
television_set,1,4,1,44,Male,CrowdWorks,5,8,5,6,10,124367.jpg,television_set,LVIS,124367_television_set,"[0, 0, 0, 0]"
cushion,2,3,1,44,Male,CrowdWorks,5,8,5,6,10,124367.jpg,cushion,LVIS,124367_cushion,"[0, 0, 0, 0]"
television_set,2,1,2,43,Female,Prolific,4,6,8,10,10,124367.jpg,television_set,LVIS,124367_television_set,"[0, 0, 0, 0]"
remote_control,2,1,2,43,Female,Prolific,4,6,8,10,10,124367.jpg,remote_control,LVIS,124367_remote_control,"[0, 0, 0, 0]"
vending_machine,1,0,1,53,Male,CrowdWorks,6,6,9,6,8,155253.jpg,vending_machine,LVIS,155253_vending_machine,"[0, 0, 0, 0]"
tag,0,5,0,53,Male,CrowdWorks,6,6,9,6,8,155253.jpg,tag,LVIS,155253_tag,"[0, 0, 0, 0]"
suitcase,0,4,0,53,Male,CrowdWorks,6,6,9,6,8,155253.jpg,suitcase,LVIS,155253_suitcase,"[0, 0, 0, 0]"
vending_machine,2,0,3,39,Female,Prolific,5,5,5,3,3,155253.jpg,vending_machine,LVIS,155253_vending_machine,"[0, 0, 0, 0]"
rubber_band,2,0,3,39,Female,Prolific,5,5,5,3,3,155253.jpg,rubber_band,LVIS,155253_rubber_band,"[0, 0, 0, 0]"
tag,0,4,2,39,Female,Prolific,5,5,5,3,3,155253.jpg,tag,LVIS,155253_tag,"[0, 0, 0, 0]"
suitcase,2,4,2,39,Female,Prolific,5,5,5,3,3,155253.jpg,suitcase,LVIS,155253_suitcase,"[0, 0, 0, 0]"
Chair,2,4,1,38,Male,CrowdWorks,5,6,7,7,7,27f6093b673df364.jpg,Chair,OpenImages,27f6093b673df364_Chair,"[0, 0, 0, 0]"
Human hair,0,6,1,38,Male,CrowdWorks,5,6,7,7,7,27f6093b673df364.jpg,Human hair,OpenImages,27f6093b673df364_Human hair,"[0, 0, 0, 0]"
Girl,0,6,1,38,Male,CrowdWorks,5,6,7,7,7,27f6093b673df364.jpg,Girl,OpenImages,27f6093b673df364_Girl,"[0, 0, 0, 0]"
Clothing,0,6,1,38,Male,CrowdWorks,5,6,7,7,7,27f6093b673df364.jpg,Clothing,OpenImages,27f6093b673df364_Clothing,"[0, 0, 0, 0]"
Human body,0,6,1,38,Male,CrowdWorks,5,6,7,7,7,27f6093b673df364.jpg,Human body,OpenImages,27f6093b673df364_Human body,"[0, 0, 0, 0]"
Human head,0,6,1,38,Male,CrowdWorks,5,6,7,7,7,27f6093b673df364.jpg,Human head,OpenImages,27f6093b673df364_Human head,"[0, 0, 0, 0]"
Human hand,2,5,1,38,Male,CrowdWorks,5,6,7,7,7,27f6093b673df364.jpg,Human hand,OpenImages,27f6093b673df364_Human hand,"[0, 0, 0, 0]"
Mammal,0,6,1,38,Male,CrowdWorks,5,6,7,7,7,27f6093b673df364.jpg,Mammal,OpenImages,27f6093b673df364_Mammal,"[0, 0, 0, 0]"
Table,2,5,1,38,Male,CrowdWorks,5,6,7,7,7,27f6093b673df364.jpg,Table,OpenImages,27f6093b673df364_Table,"[0, 0, 0, 0]"
Human arm,2,5,1,38,Male,CrowdWorks,5,6,7,7,7,27f6093b673df364.jpg,Human arm,OpenImages,27f6093b673df364_Human arm,"[0, 0, 0, 0]"
Office building,1,6,1,38,Male,CrowdWorks,5,6,7,7,7,27f6093b673df364.jpg,Office building,OpenImages,27f6093b673df364_Office building,"[0, 0, 0, 0]"
Woman,0,6,1,38,Male,CrowdWorks,5,6,7,7,7,27f6093b673df364.jpg,Woman,OpenImages,27f6093b673df364_Woman,"[0, 0, 0, 0]"
Chair,2,4,3,40,Male,Prolific,6,7,7,9,6,27f6093b673df364.jpg,Chair,OpenImages,27f6093b673df364_Chair,"[0, 0, 0, 0]"
Human hair,2,4,1,40,Male,Prolific,6,7,7,9,6,27f6093b673df364.jpg,Human hair,OpenImages,27f6093b673df364_Human hair,"[0, 0, 0, 0]"
Girl,3,5,0,40,Male,Prolific,6,7,7,9,6,27f6093b673df364.jpg,Girl,OpenImages,27f6093b673df364_Girl,"[0, 0, 0, 0]"
Clothing,1,4,1,40,Male,Prolific,6,7,7,9,6,27f6093b673df364.jpg,Clothing,OpenImages,27f6093b673df364_Clothing,"[0, 0, 0, 0]"
Human body,1,4,1,40,Male,Prolific,6,7,7,9,6,27f6093b673df364.jpg,Human body,OpenImages,27f6093b673df364_Human body,"[0, 0, 0, 0]"
Human head,1,4,0,40,Male,Prolific,6,7,7,9,6,27f6093b673df364.jpg,Human head,OpenImages,27f6093b673df364_Human head,"[0, 0, 0, 0]"
Human hand,1,4,1,40,Male,Prolific,6,7,7,9,6,27f6093b673df364.jpg,Human hand,OpenImages,27f6093b673df364_Human hand,"[0, 0, 0, 0]"
Mammal,0,4,0,40,Male,Prolific,6,7,7,9,6,27f6093b673df364.jpg,Mammal,OpenImages,27f6093b673df364_Mammal,"[0, 0, 0, 0]"
Human arm,1,4,0,40,Male,Prolific,6,7,7,9,6,27f6093b673df364.jpg,Human arm,OpenImages,27f6093b673df364_Human arm,"[0, 0, 0, 0]"
Woman,2,4,1,40,Male,Prolific,6,7,7,9,6,27f6093b673df364.jpg,Woman,OpenImages,27f6093b673df364_Woman,"[0, 0, 0, 0]"
Skyscraper,1,6,3,37,Female,Prolific,4,6,6,9,5,af6e45d2e9a8b7a3.jpg,Skyscraper,OpenImages,af6e45d2e9a8b7a3_Skyscraper,"[0, 0, 0, 0]"
Car,4,5,1,37,Female,Prolific,4,6,6,9,5,af6e45d2e9a8b7a3.jpg,Car,OpenImages,af6e45d2e9a8b7a3_Car,"[0, 0, 0, 0]"
Land vehicle,4,5,1,37,Female,Prolific,4,6,6,9,5,af6e45d2e9a8b7a3.jpg,Land vehicle,OpenImages,af6e45d2e9a8b7a3_Land vehicle,"[0, 0, 0, 0]"
Tower,1,6,3,37,Female,Prolific,4,6,6,9,5,af6e45d2e9a8b7a3.jpg,Tower,OpenImages,af6e45d2e9a8b7a3_Tower,"[0, 0, 0, 0]"
Vehicle,4,5,1,37,Female,Prolific,4,6,6,9,5,af6e45d2e9a8b7a3.jpg,Vehicle,OpenImages,af6e45d2e9a8b7a3_Vehicle,"[0, 0, 0, 0]"
Dog,1,1,1,35,Female,CrowdWorks,8,8,8,10,8,036fee36516ed5b9.jpg,Dog,OpenImages,036fee36516ed5b9_Dog,"[0, 0, 0, 0]"
Human face,0,5,1,63,Female,CrowdWorks,8,7,7,4,8,34b65dafe328d39e.jpg,Human face,OpenImages,34b65dafe328d39e_Human face,"[0, 0, 0, 0]"
Human hair,0,1,1,63,Female,CrowdWorks,8,7,7,4,8,34b65dafe328d39e.jpg,Human hair,OpenImages,34b65dafe328d39e_Human hair,"[0, 0, 0, 0]"
Human nose,0,1,1,63,Female,CrowdWorks,8,7,7,4,8,34b65dafe328d39e.jpg,Human nose,OpenImages,34b65dafe328d39e_Human nose,"[0, 0, 0, 0]"
Human body,0,4,1,63,Female,CrowdWorks,8,7,7,4,8,34b65dafe328d39e.jpg,Human body,OpenImages,34b65dafe328d39e_Human body,"[0, 0, 0, 0]"
Human head,0,4,1,63,Female,CrowdWorks,8,7,7,4,8,34b65dafe328d39e.jpg,Human head,OpenImages,34b65dafe328d39e_Human head,"[0, 0, 0, 0]"
Human arm,0,1,1,63,Female,CrowdWorks,8,7,7,4,8,34b65dafe328d39e.jpg,Human arm,OpenImages,34b65dafe328d39e_Human arm,"[0, 0, 0, 0]"
Office building,1,4,1,63,Female,CrowdWorks,8,7,7,4,8,34b65dafe328d39e.jpg,Office building,OpenImages,34b65dafe328d39e_Office building,"[0, 0, 0, 0]"
Human face,0,6,2,26,Male,Prolific,5,7,7,9,9,34b65dafe328d39e.jpg,Human face,OpenImages,34b65dafe328d39e_Human face,"[0, 0, 0, 0]"
Human hair,2,6,2,26,Male,Prolific,5,7,7,9,9,34b65dafe328d39e.jpg,Human hair,OpenImages,34b65dafe328d39e_Human hair,"[0, 0, 0, 0]"
Person,0,6,2,26,Male,Prolific,5,7,7,9,9,34b65dafe328d39e.jpg,Person,OpenImages,34b65dafe328d39e_Person,"[0, 0, 0, 0]"
Human nose,2,3,0,26,Male,Prolific,5,7,7,9,9,34b65dafe328d39e.jpg,Human nose,OpenImages,34b65dafe328d39e_Human nose,"[0, 0, 0, 0]"
Clothing,2,6,2,26,Male,Prolific,5,7,7,9,9,34b65dafe328d39e.jpg,Clothing,OpenImages,34b65dafe328d39e_Clothing,"[0, 0, 0, 0]"
Human body,0,3,3,26,Male,Prolific,5,7,7,9,9,34b65dafe328d39e.jpg,Human body,OpenImages,34b65dafe328d39e_Human body,"[0, 0, 0, 0]"
Human head,0,3,0,26,Male,Prolific,5,7,7,9,9,34b65dafe328d39e.jpg,Human head,OpenImages,34b65dafe328d39e_Human head,"[0, 0, 0, 0]"
Desk,1,6,0,26,Male,Prolific,5,7,7,9,9,34b65dafe328d39e.jpg,Desk,OpenImages,34b65dafe328d39e_Desk,"[0, 0, 0, 0]"
Human arm,0,6,0,26,Male,Prolific,5,7,7,9,9,34b65dafe328d39e.jpg,Human arm,OpenImages,34b65dafe328d39e_Human arm,"[0, 0, 0, 0]"
Office building,1,6,0,26,Male,Prolific,5,7,7,9,9,34b65dafe328d39e.jpg,Office building,OpenImages,34b65dafe328d39e_Office building,"[0, 0, 0, 0]"
Table,0,4,0,47,Male,CrowdWorks,2,6,6,8,6,582cb18866f78e79.jpg,Table,OpenImages,582cb18866f78e79_Table,"[0, 0, 0, 0]"
Desk,0,5,0,47,Male,CrowdWorks,2,6,6,8,6,582cb18866f78e79.jpg,Desk,OpenImages,582cb18866f78e79_Desk,"[0, 0, 0, 0]"
Office building,1,6,0,47,Male,CrowdWorks,2,6,6,8,6,582cb18866f78e79.jpg,Office building,OpenImages,582cb18866f78e79_Office building,"[0, 0, 0, 0]"
Office building,0,4,0,32,Female,Prolific,6,6,9,8,6,582cb18866f78e79.jpg,Office building,OpenImages,582cb18866f78e79_Office building,"[0, 0, 0, 0]"
Trousers,0,5,1,55,Male,CrowdWorks,4,6,8,7,9,0007cebe1b2ba653.jpg,Trousers,OpenImages,0007cebe1b2ba653_Trousers,"[0, 0, 0, 0]"
